Date,Year,Quarter,Nationality,Region,Raised or resolved,Raised type / Resolved outcome,Age disputes
2015-04-01,2015,2,Egypt,Africa North,Resolved,18+,2
2015-04-01,2015,2,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-04-01,2015,2,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,23
2015-04-01,2015,2,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,11
2015-04-01,2015,2,Eritrea,Africa Sub-Saharan,Resolved,18+,11
2015-04-01,2015,2,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2015-04-01,2015,2,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,2
2015-04-01,2015,2,Ethiopia,Africa Sub-Saharan,Resolved,18+,1
2015-04-01,2015,2,Guinea,Africa Sub-Saharan,Resolved,Less than 18,1
2015-04-01,2015,2,India,Asia South,Raised,Asylum application raised in quarter,2
2015-04-01,2015,2,India,Asia South,Resolved,18+,2
2015-04-01,2015,2,Iran,Middle East,Raised,Asylum application raised in quarter,12
2015-04-01,2015,2,Iran,Middle East,Resolved,Less than 18,4
2015-04-01,2015,2,Iran,Middle East,Resolved,18+,8
2015-04-01,2015,2,Iraq,Middle East,Raised,Asylum application raised in quarter,11
2015-04-01,2015,2,Iraq,Middle East,Resolved,Less than 18,12
2015-04-01,2015,2,Iraq,Middle East,Resolved,18+,6
2015-04-01,2015,2,Ivory Coast,Africa Sub-Saharan,Resolved,Less than 18,1
2015-04-01,2015,2,Kosovo,Europe Other,Resolved,Less than 18,3
2015-04-01,2015,2,Libya,Africa North,Raised,Asylum application raised in quarter,1
2015-04-01,2015,2,Morocco,Africa North,Raised,Asylum application raised in quarter,2
2015-04-01,2015,2,Morocco,Africa North,Resolved,18+,2
2015-04-01,2015,2,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-04-01,2015,2,Nigeria,Africa Sub-Saharan,Resolved,18+,2
2015-04-01,2015,2,Refugee,Other,Raised,Asylum application raised in quarter,1
2015-04-01,2015,2,Refugee,Other,Resolved,18+,1
2015-04-01,2015,2,Sierra Leone,Africa Sub-Saharan,Resolved,18+,1
2015-04-01,2015,2,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-04-01,2015,2,Somalia,Africa Sub-Saharan,Resolved,Less than 18,1
2015-04-01,2015,2,Sudan,Africa North,Raised,Existing asylum application,1
2015-04-01,2015,2,Sudan,Africa North,Raised,Asylum application raised in quarter,5
2015-04-01,2015,2,Sudan,Africa North,Resolved,18+,5
2015-04-01,2015,2,Syria,Middle East,Raised,Existing asylum application,2
2015-04-01,2015,2,Syria,Middle East,Raised,Asylum application raised in quarter,2
2015-04-01,2015,2,Turkey,Europe Other,Resolved,Less than 18,1
2015-04-01,2015,2,Turkey,Europe Other,Resolved,18+,1
2015-04-01,2015,2,Uganda,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-04-01,2015,2,Uganda,Africa Sub-Saharan,Resolved,Less than 18,1
2015-04-01,2015,2,Vietnam,Asia South East,Raised,Asylum application raised in quarter,13
2015-04-01,2015,2,Vietnam,Asia South East,Resolved,Less than 18,4
2015-04-01,2015,2,Vietnam,Asia South East,Resolved,18+,7
2015-07-01,2015,3,Afghanistan,Asia Central,Raised,Existing asylum application,6
2015-07-01,2015,3,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,87
2015-07-01,2015,3,Afghanistan,Asia Central,Resolved,Less than 18,26
2015-07-01,2015,3,Afghanistan,Asia Central,Resolved,18+,37
2015-07-01,2015,3,Albania,Europe Other,Raised,Asylum application raised in quarter,3
2015-07-01,2015,3,Albania,Europe Other,Resolved,Less than 18,5
2015-07-01,2015,3,Albania,Europe Other,Resolved,18+,1
2015-07-01,2015,3,Algeria,Africa North,Raised,Asylum application raised in quarter,1
2015-07-01,2015,3,Angola,Africa Sub-Saharan,Resolved,18+,1
2015-07-01,2015,3,Cameroon,Africa Sub-Saharan,Resolved,Less than 18,1
2015-07-01,2015,3,China,Asia East,Resolved,Less than 18,2
2015-07-01,2015,3,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2015-07-01,2015,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,3
2015-07-01,2015,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,2
2015-07-01,2015,3,Egypt,Africa North,Resolved,18+,1
2015-07-01,2015,3,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,6
2015-07-01,2015,3,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,36
2015-07-01,2015,3,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,6
2015-07-01,2015,3,Eritrea,Africa Sub-Saharan,Resolved,18+,18
2015-07-01,2015,3,Ethiopia,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-07-01,2015,3,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,9
2015-07-01,2015,3,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,1
2015-07-01,2015,3,Ethiopia,Africa Sub-Saharan,Resolved,18+,4
2015-07-01,2015,3,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-07-01,2015,3,Guinea,Africa Sub-Saharan,Resolved,18+,1
2015-07-01,2015,3,India,Asia South,Resolved,Less than 18,1
2015-07-01,2015,3,India,Asia South,Resolved,18+,1
2015-07-01,2015,3,Iran,Middle East,Raised,Existing asylum application,4
2015-07-01,2015,3,Iran,Middle East,Raised,Asylum application raised in quarter,35
2015-07-01,2015,3,Iran,Middle East,Resolved,Less than 18,6
2015-07-01,2015,3,Iran,Middle East,Resolved,18+,28
2015-07-01,2015,3,Iraq,Middle East,Raised,Existing asylum application,1
2015-07-01,2015,3,Iraq,Middle East,Raised,Asylum application raised in quarter,32
2015-07-01,2015,3,Iraq,Middle East,Resolved,Less than 18,4
2015-07-01,2015,3,Iraq,Middle East,Resolved,18+,23
2015-07-01,2015,3,Ivory Coast,Africa Sub-Saharan,Resolved,18+,1
2015-07-01,2015,3,Kuwait,Middle East,Raised,Asylum application raised in quarter,1
2015-07-01,2015,3,Kuwait,Middle East,Resolved,18+,1
2015-07-01,2015,3,Morocco,Africa North,Raised,Asylum application raised in quarter,1
2015-07-01,2015,3,Morocco,Africa North,Resolved,18+,1
2015-07-01,2015,3,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,1
2015-07-01,2015,3,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-07-01,2015,3,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2015-07-01,2015,3,Somalia,Africa Sub-Saharan,Resolved,Less than 18,3
2015-07-01,2015,3,Sri Lanka,Asia South,Resolved,Less than 18,1
2015-07-01,2015,3,Stateless,Other,Raised,Asylum application raised in quarter,5
2015-07-01,2015,3,Stateless,Other,Resolved,Less than 18,2
2015-07-01,2015,3,Stateless,Other,Resolved,18+,1
2015-07-01,2015,3,Sudan,Africa North,Raised,Existing asylum application,1
2015-07-01,2015,3,Sudan,Africa North,Raised,Asylum application raised in quarter,15
2015-07-01,2015,3,Sudan,Africa North,Resolved,Less than 18,3
2015-07-01,2015,3,Sudan,Africa North,Resolved,18+,9
2015-07-01,2015,3,Syria,Middle East,Raised,Asylum application raised in quarter,8
2015-07-01,2015,3,Syria,Middle East,Resolved,18+,4
2015-07-01,2015,3,Vietnam,Asia South East,Raised,Asylum application raised in quarter,19
2015-07-01,2015,3,Vietnam,Asia South East,Raised,Asylum application raised in quarter,2
2015-07-01,2015,3,Vietnam,Asia South East,Resolved,Less than 18,2
2015-07-01,2015,3,Vietnam,Asia South East,Resolved,18+,21
2015-10-01,2015,4,Afghanistan,Asia Central,Raised,Existing asylum application,7
2015-10-01,2015,4,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,70
2015-10-01,2015,4,Afghanistan,Asia Central,Resolved,Less than 18,31
2015-10-01,2015,4,Afghanistan,Asia Central,Resolved,18+,44
2015-10-01,2015,4,Albania,Europe Other,Raised,Existing asylum application,1
2015-10-01,2015,4,Albania,Europe Other,Raised,Asylum application raised in quarter,4
2015-10-01,2015,4,Albania,Europe Other,Resolved,Less than 18,2
2015-10-01,2015,4,Albania,Europe Other,Resolved,18+,4
2015-10-01,2015,4,Algeria,Africa North,Raised,Asylum application raised in quarter,2
2015-10-01,2015,4,Algeria,Africa North,Resolved,18+,3
2015-10-01,2015,4,Angola,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-10-01,2015,4,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Angola,Africa Sub-Saharan,Resolved,Less than 18,1
2015-10-01,2015,4,Angola,Africa Sub-Saharan,Resolved,18+,1
2015-10-01,2015,4,Bangladesh,Asia South,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Bangladesh,Asia South,Resolved,18+,2
2015-10-01,2015,4,China,Asia East,Resolved,Less than 18,1
2015-10-01,2015,4,China,Asia East,Resolved,18+,1
2015-10-01,2015,4,Congo,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Congo,Africa Sub-Saharan,Resolved,18+,1
2015-10-01,2015,4,Egypt,Africa North,Raised,Asylum application raised in quarter,2
2015-10-01,2015,4,Egypt,Africa North,Resolved,Less than 18,1
2015-10-01,2015,4,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,3
2015-10-01,2015,4,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,18
2015-10-01,2015,4,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,7
2015-10-01,2015,4,Eritrea,Africa Sub-Saharan,Resolved,18+,9
2015-10-01,2015,4,Ethiopia,Africa Sub-Saharan,Raised,Existing asylum application,1
2015-10-01,2015,4,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,4
2015-10-01,2015,4,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,1
2015-10-01,2015,4,Ethiopia,Africa Sub-Saharan,Resolved,18+,2
2015-10-01,2015,4,Former Yugoslavia,Europe Other,Resolved,18+,1
2015-10-01,2015,4,Guinea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Guinea,Africa Sub-Saharan,Resolved,18+,1
2015-10-01,2015,4,India,Asia South,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,India,Asia South,Resolved,Less than 18,1
2015-10-01,2015,4,India,Asia South,Resolved,18+,1
2015-10-01,2015,4,Iran,Middle East,Raised,Existing asylum application,3
2015-10-01,2015,4,Iran,Middle East,Raised,Asylum application raised in quarter,52
2015-10-01,2015,4,Iran,Middle East,Resolved,Less than 18,11
2015-10-01,2015,4,Iran,Middle East,Resolved,18+,32
2015-10-01,2015,4,Iraq,Middle East,Raised,Existing asylum application,5
2015-10-01,2015,4,Iraq,Middle East,Raised,Asylum application raised in quarter,48
2015-10-01,2015,4,Iraq,Middle East,Resolved,Less than 18,3
2015-10-01,2015,4,Iraq,Middle East,Resolved,18+,32
2015-10-01,2015,4,Ivory Coast,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Ivory Coast,Africa Sub-Saharan,Resolved,Less than 18,1
2015-10-01,2015,4,Korea (North),Asia East,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Libya,Africa North,Resolved,Less than 18,1
2015-10-01,2015,4,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Pakistan,Asia South,Raised,Existing asylum application,1
2015-10-01,2015,4,Pakistan,Asia South,Resolved,18+,1
2015-10-01,2015,4,Romania,EU 2,Resolved,18+,1
2015-10-01,2015,4,Serbia,Europe Other,Resolved,Less than 18,1
2015-10-01,2015,4,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Somalia,Africa Sub-Saharan,Resolved,18+,1
2015-10-01,2015,4,Stateless,Other,Raised,Existing asylum application,1
2015-10-01,2015,4,Stateless,Other,Raised,Asylum application raised in quarter,11
2015-10-01,2015,4,Stateless,Other,Resolved,Less than 18,3
2015-10-01,2015,4,Stateless,Other,Resolved,18+,5
2015-10-01,2015,4,Sudan,Africa North,Raised,Existing asylum application,5
2015-10-01,2015,4,Sudan,Africa North,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Sudan,Africa North,Resolved,Less than 18,2
2015-10-01,2015,4,Sudan,Africa North,Resolved,18+,3
2015-10-01,2015,4,Syria,Middle East,Raised,Existing asylum application,4
2015-10-01,2015,4,Syria,Middle East,Raised,Asylum application raised in quarter,6
2015-10-01,2015,4,Syria,Middle East,Resolved,Less than 18,5
2015-10-01,2015,4,Syria,Middle East,Resolved,18+,1
2015-10-01,2015,4,Vietnam,Asia South East,Raised,Existing asylum application,1
2015-10-01,2015,4,Vietnam,Asia South East,Raised,Asylum application raised in quarter,10
2015-10-01,2015,4,Vietnam,Asia South East,Resolved,Less than 18,1
2015-10-01,2015,4,Vietnam,Asia South East,Resolved,18+,6
2015-10-01,2015,4,Zimbabwe,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2015-10-01,2015,4,Zimbabwe,Africa Sub-Saharan,Resolved,Less than 18,1
2015-10-01,2015,4,Zimbabwe,Africa Sub-Saharan,Resolved,18+,1
2016-01-01,2016,1,Afghanistan,Asia Central,Raised,Existing asylum application,27
2016-01-01,2016,1,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,44
2016-01-01,2016,1,Afghanistan,Asia Central,Resolved,Less than 18,30
2016-01-01,2016,1,Afghanistan,Asia Central,Resolved,18+,35
2016-01-01,2016,1,Albania,Europe Other,Raised,Existing asylum application,1
2016-01-01,2016,1,Albania,Europe Other,Raised,Asylum application raised in quarter,2
2016-01-01,2016,1,Albania,Europe Other,Resolved,Less than 18,2
2016-01-01,2016,1,Algeria,Africa North,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Algeria,Africa North,Resolved,Less than 18,2
2016-01-01,2016,1,Angola,Africa Sub-Saharan,Resolved,18+,1
2016-01-01,2016,1,British overseas citizens,Other,Raised,Existing asylum application,1
2016-01-01,2016,1,China,Asia East,Raised,Asylum application raised in quarter,4
2016-01-01,2016,1,China,Asia East,Resolved,18+,2
2016-01-01,2016,1,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,2
2016-01-01,2016,1,Egypt,Africa North,Raised,Existing asylum application,1
2016-01-01,2016,1,Egypt,Africa North,Raised,Asylum application raised in quarter,2
2016-01-01,2016,1,Egypt,Africa North,Resolved,Less than 18,1
2016-01-01,2016,1,Egypt,Africa North,Resolved,18+,2
2016-01-01,2016,1,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,13
2016-01-01,2016,1,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,6
2016-01-01,2016,1,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,11
2016-01-01,2016,1,Eritrea,Africa Sub-Saharan,Resolved,18+,4
2016-01-01,2016,1,Ethiopia,Africa Sub-Saharan,Raised,Existing asylum application,3
2016-01-01,2016,1,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,4
2016-01-01,2016,1,Ethiopia,Africa Sub-Saharan,Resolved,18+,3
2016-01-01,2016,1,India,Asia South,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,India,Asia South,Resolved,18+,1
2016-01-01,2016,1,Iran,Middle East,Raised,Existing asylum application,7
2016-01-01,2016,1,Iran,Middle East,Raised,Asylum application raised in quarter,81
2016-01-01,2016,1,Iran,Middle East,Resolved,Less than 18,16
2016-01-01,2016,1,Iran,Middle East,Resolved,18+,52
2016-01-01,2016,1,Iraq,Middle East,Raised,Existing asylum application,8
2016-01-01,2016,1,Iraq,Middle East,Raised,Asylum application raised in quarter,45
2016-01-01,2016,1,Iraq,Middle East,Resolved,Less than 18,14
2016-01-01,2016,1,Iraq,Middle East,Resolved,18+,37
2016-01-01,2016,1,Kenya,Africa Sub-Saharan,Resolved,Less than 18,1
2016-01-01,2016,1,Nigeria,Africa Sub-Saharan,Raised,Existing asylum application,2
2016-01-01,2016,1,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,3
2016-01-01,2016,1,Nigeria,Africa Sub-Saharan,Resolved,18+,3
2016-01-01,2016,1,Occupied Palestinian Territories,Middle East,Resolved,18+,1
2016-01-01,2016,1,Pakistan,Asia South,Raised,Asylum application raised in quarter,2
2016-01-01,2016,1,Pakistan,Asia South,Resolved,Less than 18,1
2016-01-01,2016,1,Refugee,Other,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Refugee,Other,Resolved,18+,2
2016-01-01,2016,1,Somalia,Africa Sub-Saharan,Raised,Existing asylum application,2
2016-01-01,2016,1,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Somalia,Africa Sub-Saharan,Resolved,Less than 18,2
2016-01-01,2016,1,Somalia,Africa Sub-Saharan,Resolved,18+,2
2016-01-01,2016,1,Sri Lanka,Asia South,Raised,Existing asylum application,1
2016-01-01,2016,1,Stateless,Other,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Stateless,Other,Resolved,Less than 18,1
2016-01-01,2016,1,Sudan,Africa North,Raised,Existing asylum application,4
2016-01-01,2016,1,Sudan,Africa North,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Sudan,Africa North,Resolved,Less than 18,1
2016-01-01,2016,1,Sudan,Africa North,Resolved,18+,3
2016-01-01,2016,1,Syria,Middle East,Raised,Existing asylum application,4
2016-01-01,2016,1,Syria,Middle East,Raised,Asylum application raised in quarter,8
2016-01-01,2016,1,Syria,Middle East,Resolved,Less than 18,7
2016-01-01,2016,1,Syria,Middle East,Resolved,18+,4
2016-01-01,2016,1,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Turkey,Europe Other,Resolved,18+,1
2016-01-01,2016,1,Uganda,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Uganda,Africa Sub-Saharan,Resolved,Less than 18,1
2016-01-01,2016,1,Vietnam,Asia South East,Raised,Existing asylum application,3
2016-01-01,2016,1,Vietnam,Asia South East,Raised,Asylum application raised in quarter,15
2016-01-01,2016,1,Vietnam,Asia South East,Raised,Asylum application raised in quarter,1
2016-01-01,2016,1,Vietnam,Asia South East,Resolved,Less than 18,4
2016-01-01,2016,1,Vietnam,Asia South East,Resolved,18+,9
2016-04-01,2016,2,Afghanistan,Asia Central,Raised,Existing asylum application,8
2016-04-01,2016,2,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,74
2016-04-01,2016,2,Afghanistan,Asia Central,Resolved,Less than 18,40
2016-04-01,2016,2,Afghanistan,Asia Central,Resolved,18+,45
2016-04-01,2016,2,Albania,Europe Other,Raised,Asylum application raised in quarter,4
2016-04-01,2016,2,Albania,Europe Other,Resolved,Less than 18,3
2016-04-01,2016,2,Albania,Europe Other,Resolved,18+,2
2016-04-01,2016,2,Algeria,Africa North,Raised,Asylum application raised in quarter,4
2016-04-01,2016,2,Algeria,Africa North,Resolved,Less than 18,1
2016-04-01,2016,2,Algeria,Africa North,Resolved,18+,1
2016-04-01,2016,2,British overseas citizens,Other,Resolved,Less than 18,1
2016-04-01,2016,2,China,Asia East,Raised,Asylum application raised in quarter,2
2016-04-01,2016,2,China,Asia East,Resolved,18+,1
2016-04-01,2016,2,Congo,Africa Sub-Saharan,Raised,Existing asylum application,2
2016-04-01,2016,2,Egypt,Africa North,Raised,Existing asylum application,1
2016-04-01,2016,2,Egypt,Africa North,Raised,Asylum application raised in quarter,2
2016-04-01,2016,2,Egypt,Africa North,Resolved,18+,2
2016-04-01,2016,2,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,6
2016-04-01,2016,2,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,14
2016-04-01,2016,2,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,9
2016-04-01,2016,2,Eritrea,Africa Sub-Saharan,Resolved,18+,9
2016-04-01,2016,2,Ethiopia,Africa Sub-Saharan,Raised,Existing asylum application,2
2016-04-01,2016,2,Ethiopia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-04-01,2016,2,Ethiopia,Africa Sub-Saharan,Resolved,Less than 18,4
2016-04-01,2016,2,Ghana,Africa Sub-Saharan,Raised,Existing asylum application,1
2016-04-01,2016,2,Guinea,Africa Sub-Saharan,Resolved,Less than 18,1
2016-04-01,2016,2,India,Asia South,Raised,Asylum application raised in quarter,3
2016-04-01,2016,2,India,Asia South,Resolved,18+,1
2016-04-01,2016,2,Iran,Middle East,Raised,Existing asylum application,2
2016-04-01,2016,2,Iran,Middle East,Raised,Asylum application raised in quarter,32
2016-04-01,2016,2,Iran,Middle East,Resolved,Less than 18,11
2016-04-01,2016,2,Iran,Middle East,Resolved,18+,28
2016-04-01,2016,2,Iraq,Middle East,Raised,Existing asylum application,3
2016-04-01,2016,2,Iraq,Middle East,Raised,Asylum application raised in quarter,17
2016-04-01,2016,2,Iraq,Middle East,Resolved,Less than 18,3
2016-04-01,2016,2,Iraq,Middle East,Resolved,18+,20
2016-04-01,2016,2,Kosovo,Europe Other,Resolved,18+,2
2016-04-01,2016,2,Liberia,Africa Sub-Saharan,Resolved,Less than 18,1
2016-04-01,2016,2,Malawi,Africa Sub-Saharan,Resolved,18+,1
2016-04-01,2016,2,Morocco,Africa North,Raised,Existing asylum application,1
2016-04-01,2016,2,Morocco,Africa North,Resolved,18+,1
2016-04-01,2016,2,Nigeria,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-04-01,2016,2,Nigeria,Africa Sub-Saharan,Resolved,Less than 18,1
2016-04-01,2016,2,Nigeria,Africa Sub-Saharan,Resolved,18+,1
2016-04-01,2016,2,Other and unknown,Other,Raised,Asylum application raised in quarter,2
2016-04-01,2016,2,Other and unknown,Other,Resolved,18+,2
2016-04-01,2016,2,Pakistan,Asia South,Raised,Asylum application raised in quarter,2
2016-04-01,2016,2,Pakistan,Asia South,Resolved,18+,3
2016-04-01,2016,2,Refugee,Other,Raised,Asylum application raised in quarter,1
2016-04-01,2016,2,Refugee,Other,Resolved,18+,1
2016-04-01,2016,2,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2016-04-01,2016,2,Somalia,Africa Sub-Saharan,Resolved,Less than 18,1
2016-04-01,2016,2,Somalia,Africa Sub-Saharan,Resolved,18+,2
2016-04-01,2016,2,Sri Lanka,Asia South,Raised,Existing asylum application,1
2016-04-01,2016,2,Sri Lanka,Asia South,Resolved,Less than 18,2
2016-04-01,2016,2,Sri Lanka,Asia South,Resolved,18+,1
2016-04-01,2016,2,Stateless,Other,Raised,Existing asylum application,1
2016-04-01,2016,2,Stateless,Other,Raised,Asylum application raised in quarter,1
2016-04-01,2016,2,Stateless,Other,Resolved,Less than 18,2
2016-04-01,2016,2,Stateless,Other,Resolved,18+,1
2016-04-01,2016,2,Sudan,Africa North,Raised,Existing asylum application,1
2016-04-01,2016,2,Sudan,Africa North,Raised,Asylum application raised in quarter,3
2016-04-01,2016,2,Sudan,Africa North,Resolved,Less than 18,1
2016-04-01,2016,2,Sudan,Africa North,Resolved,18+,2
2016-04-01,2016,2,Syria,Middle East,Raised,Existing asylum application,1
2016-04-01,2016,2,Syria,Middle East,Raised,Asylum application raised in quarter,12
2016-04-01,2016,2,Syria,Middle East,Resolved,Less than 18,5
2016-04-01,2016,2,Syria,Middle East,Resolved,18+,10
2016-04-01,2016,2,Turkey,Europe Other,Raised,Asylum application raised in quarter,1
2016-04-01,2016,2,Vietnam,Asia South East,Raised,Existing asylum application,1
2016-04-01,2016,2,Vietnam,Asia South East,Raised,Asylum application raised in quarter,11
2016-04-01,2016,2,Vietnam,Asia South East,Resolved,Less than 18,4
2016-04-01,2016,2,Vietnam,Asia South East,Resolved,18+,8
2016-07-01,2016,3,Afghanistan,Asia Central,Raised,Existing asylum application,11
2016-07-01,2016,3,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,86
2016-07-01,2016,3,Afghanistan,Asia Central,Resolved,Less than 18,41
2016-07-01,2016,3,Afghanistan,Asia Central,Resolved,18+,57
2016-07-01,2016,3,Albania,Europe Other,Raised,Asylum application raised in quarter,2
2016-07-01,2016,3,Albania,Europe Other,Resolved,Less than 18,3
2016-07-01,2016,3,Algeria,Africa North,Resolved,18+,1
2016-07-01,2016,3,Angola,Africa Sub-Saharan,Resolved,Less than 18,1
2016-07-01,2016,3,Congo,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,1
2016-07-01,2016,3,Egypt,Africa North,Raised,Existing asylum application,1
2016-07-01,2016,3,Egypt,Africa North,Raised,Asylum application raised in quarter,6
2016-07-01,2016,3,Egypt,Africa North,Resolved,Less than 18,2
2016-07-01,2016,3,Egypt,Africa North,Resolved,18+,5
2016-07-01,2016,3,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,31
2016-07-01,2016,3,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,19
2016-07-01,2016,3,Eritrea,Africa Sub-Saharan,Resolved,18+,23
2016-07-01,2016,3,Ethiopia,Africa Sub-Saharan,Resolved,18+,2
2016-07-01,2016,3,"Gambia, The",Africa Sub-Saharan,Raised,Existing asylum application,1
2016-07-01,2016,3,India,Asia South,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,India,Asia South,Resolved,18+,3
2016-07-01,2016,3,Iran,Middle East,Raised,Existing asylum application,4
2016-07-01,2016,3,Iran,Middle East,Raised,Asylum application raised in quarter,12
2016-07-01,2016,3,Iran,Middle East,Resolved,Less than 18,7
2016-07-01,2016,3,Iran,Middle East,Resolved,18+,11
2016-07-01,2016,3,Iraq,Middle East,Raised,Existing asylum application,2
2016-07-01,2016,3,Iraq,Middle East,Raised,Asylum application raised in quarter,24
2016-07-01,2016,3,Iraq,Middle East,Resolved,Less than 18,6
2016-07-01,2016,3,Iraq,Middle East,Resolved,18+,18
2016-07-01,2016,3,Kenya,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Kuwait,Middle East,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Kuwait,Middle East,Resolved,18+,1
2016-07-01,2016,3,Liberia,Africa Sub-Saharan,Resolved,Less than 18,1
2016-07-01,2016,3,Libya,Africa North,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Libya,Africa North,Resolved,18+,1
2016-07-01,2016,3,Pakistan,Asia South,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Senegal,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2016-07-01,2016,3,Senegal,Africa Sub-Saharan,Resolved,Less than 18,1
2016-07-01,2016,3,Somalia,Africa Sub-Saharan,Raised,Asylum application raised in quarter,2
2016-07-01,2016,3,Somalia,Africa Sub-Saharan,Resolved,Less than 18,4
2016-07-01,2016,3,Somalia,Africa Sub-Saharan,Resolved,18+,1
2016-07-01,2016,3,Sri Lanka,Asia South,Resolved,18+,1
2016-07-01,2016,3,Sudan,Africa North,Raised,Asylum application raised in quarter,7
2016-07-01,2016,3,Sudan,Africa North,Resolved,Less than 18,2
2016-07-01,2016,3,Sudan,Africa North,Resolved,18+,6
2016-07-01,2016,3,Syria,Middle East,Raised,Asylum application raised in quarter,8
2016-07-01,2016,3,Syria,Middle East,Resolved,Less than 18,4
