Date,Year,Quarter,Nationality,Region,Grant,Refused,Initial grant rate
2013-01-01,2013,2013 Q1,Togo,Africa Sub-Saharan,NA,3,NA
2013-01-01,2013,2013 Q1,Trinidad and Tobago,America Central and South,1,3,0.25
2013-01-01,2013,2013 Q1,Tunisia,Africa North,NA,4,NA
2013-01-01,2013,2013 Q1,Turkey,Europe Other,14,45,0.23728813559322035
2013-01-01,2013,2013 Q1,Turkmenistan,Asia Central,NA,2,NA
2013-01-01,2013,2013 Q1,Uganda,Africa Sub-Saharan,26,34,0.43333333333333335
2013-01-01,2013,2013 Q1,Ukraine,Europe Other,1,5,0.16666666666666666
2013-01-01,2013,2013 Q1,United States,America North,NA,5,NA
2013-01-01,2013,2013 Q1,Uzbekistan,Asia Central,1,2,0.3333333333333333
2013-01-01,2013,2013 Q1,Vietnam,Asia South East,10,71,0.12345679012345678
2013-01-01,2013,2013 Q1,Western Sahara,Africa North,1,NA,NA
2013-01-01,2013,2013 Q1,Yemen,Middle East,5,9,0.35714285714285715
2013-01-01,2013,2013 Q1,Zambia,Africa Sub-Saharan,1,4,0.2
2013-01-01,2013,2013 Q1,Zimbabwe,Africa Sub-Saharan,41,58,0.41414141414141414
2013-04-01,2013,2013 Q2,Afghanistan,Asia Central,112,146,0.43410852713178294
2013-04-01,2013,2013 Q2,Albania,Europe Other,82,165,0.3319838056680162
2013-04-01,2013,2013 Q2,Algeria,Africa North,8,43,0.1568627450980392
2013-04-01,2013,2013 Q2,Angola,Africa Sub-Saharan,1,11,0.08333333333333333
2013-04-01,2013,2013 Q2,Armenia,Europe Other,2,5,0.2857142857142857
2013-04-01,2013,2013 Q2,Azerbaijan,Europe Other,1,3,0.25
2013-04-01,2013,2013 Q2,Bahrain,Middle East,3,NA,NA
2013-04-01,2013,2013 Q2,Bangladesh,Asia South,11,232,0.04526748971193416
2013-04-01,2013,2013 Q2,Belarus,Europe Other,2,NA,NA
2013-04-01,2013,2013 Q2,Benin,Africa Sub-Saharan,NA,3,NA
2013-04-01,2013,2013 Q2,Brazil,America Central and South,NA,3,NA
2013-04-01,2013,2013 Q2,Burma,Asia South East,5,6,0.45454545454545453
2013-04-01,2013,2013 Q2,Burundi,Africa Sub-Saharan,1,NA,NA
2013-04-01,2013,2013 Q2,Cameroon,Africa Sub-Saharan,5,20,0.2
2013-04-01,2013,2013 Q2,Canada,America North,NA,1,NA
2013-04-01,2013,2013 Q2,Chad,Africa Sub-Saharan,NA,3,NA
2013-04-01,2013,2013 Q2,China,Asia East,11,136,0.07482993197278912
2013-04-01,2013,2013 Q2,Colombia,America Central and South,1,1,0.5
2013-04-01,2013,2013 Q2,Congo,Africa Sub-Saharan,NA,4,NA
2013-04-01,2013,2013 Q2,Congo (Democratic Republic),Africa Sub-Saharan,20,29,0.40816326530612246
2013-04-01,2013,2013 Q2,Czech Republic,EU 8,NA,2,NA
2013-04-01,2013,2013 Q2,Ecuador,America Central and South,NA,3,NA
2013-04-01,2013,2013 Q2,Egypt,Africa North,16,37,0.3018867924528302
2013-04-01,2013,2013 Q2,Equatorial Guinea,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Eritrea,Africa Sub-Saharan,185,34,0.8447488584474886
2013-04-01,2013,2013 Q2,Ethiopia,Africa Sub-Saharan,20,18,0.5263157894736842
2013-04-01,2013,2013 Q2,Former Yugoslavia,Europe Other,NA,1,NA
2013-04-01,2013,2013 Q2,"Gambia, The",Africa Sub-Saharan,26,37,0.4126984126984127
2013-04-01,2013,2013 Q2,Georgia,Europe Other,NA,3,NA
2013-04-01,2013,2013 Q2,Ghana,Africa Sub-Saharan,5,44,0.10204081632653061
2013-04-01,2013,2013 Q2,Grenada,America Central and South,NA,1,NA
2013-04-01,2013,2013 Q2,Guinea,Africa Sub-Saharan,9,9,0.5
2013-04-01,2013,2013 Q2,Guyana,America Central and South,2,NA,NA
2013-04-01,2013,2013 Q2,India,Asia South,3,186,0.015873015873015872
2013-04-01,2013,2013 Q2,Indonesia,Asia South East,NA,1,NA
2013-04-01,2013,2013 Q2,Iran,Middle East,339,304,0.5272161741835147
2013-04-01,2013,2013 Q2,Iraq,Middle East,25,47,0.3472222222222222
2013-04-01,2013,2013 Q2,Israel,Middle East,NA,1,NA
2013-04-01,2013,2013 Q2,Ivory Coast,Africa Sub-Saharan,4,11,0.26666666666666666
2013-04-01,2013,2013 Q2,Jamaica,America Central and South,4,32,0.1111111111111111
2013-04-01,2013,2013 Q2,Jordan,Middle East,NA,4,NA
2013-04-01,2013,2013 Q2,Kenya,Africa Sub-Saharan,NA,16,NA
2013-04-01,2013,2013 Q2,Korea (North),Asia East,3,2,0.6
2013-04-01,2013,2013 Q2,Kosovo,Europe Other,2,4,0.3333333333333333
2013-04-01,2013,2013 Q2,Kuwait,Middle East,4,5,0.4444444444444444
2013-04-01,2013,2013 Q2,Latvia,EU 8,NA,3,NA
2013-04-01,2013,2013 Q2,Lebanon,Middle East,2,8,0.2
2013-04-01,2013,2013 Q2,Liberia,Africa Sub-Saharan,1,1,0.5
2013-04-01,2013,2013 Q2,Libya,Africa North,16,35,0.3137254901960784
2013-04-01,2013,2013 Q2,Lithuania,EU 8,NA,3,NA
2013-04-01,2013,2013 Q2,Malawi,Africa Sub-Saharan,7,19,0.2692307692307692
2013-04-01,2013,2013 Q2,Malaysia,Asia South East,3,6,0.3333333333333333
2013-04-01,2013,2013 Q2,Mali,Africa Sub-Saharan,NA,3,NA
2013-04-01,2013,2013 Q2,Mauritania,Africa North,2,NA,NA
2013-04-01,2013,2013 Q2,Mauritius,Africa Sub-Saharan,3,6,0.3333333333333333
2013-04-01,2013,2013 Q2,Mexico,America Central and South,NA,2,NA
2013-04-01,2013,2013 Q2,Mongolia,Asia East,NA,5,NA
2013-04-01,2013,2013 Q2,Morocco,Africa North,7,4,0.6363636363636364
2013-04-01,2013,2013 Q2,Namibia,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Nepal,Asia South,NA,12,NA
2013-04-01,2013,2013 Q2,Netherlands,EU 14,NA,1,NA
2013-04-01,2013,2013 Q2,Niger,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Nigeria,Africa Sub-Saharan,29,185,0.13551401869158877
2013-04-01,2013,2013 Q2,Occupied Palestinian Territories,Middle East,8,14,0.36363636363636365
2013-04-01,2013,2013 Q2,Other and unknown,Other,NA,1,NA
2013-04-01,2013,2013 Q2,Pakistan,Asia South,142,572,0.19887955182072828
2013-04-01,2013,2013 Q2,Philippines,Asia South East,1,5,0.16666666666666666
2013-04-01,2013,2013 Q2,Poland,EU 8,NA,16,NA
2013-04-01,2013,2013 Q2,Qatar,Middle East,NA,1,NA
2013-04-01,2013,2013 Q2,Refugee,Other,51,7,0.8793103448275862
2013-04-01,2013,2013 Q2,Romania,EU 2,NA,1,NA
2013-04-01,2013,2013 Q2,Russia,Europe Other,10,7,0.5882352941176471
2013-04-01,2013,2013 Q2,Rwanda,Africa Sub-Saharan,3,2,0.6
2013-04-01,2013,2013 Q2,Saudi Arabia,Middle East,NA,1,NA
2013-04-01,2013,2013 Q2,Senegal,Africa Sub-Saharan,1,8,0.1111111111111111
2013-04-01,2013,2013 Q2,Sierra Leone,Africa Sub-Saharan,6,10,0.375
2013-04-01,2013,2013 Q2,Slovakia,EU 8,NA,1,NA
2013-04-01,2013,2013 Q2,Somalia,Africa Sub-Saharan,65,49,0.5701754385964912
2013-04-01,2013,2013 Q2,South Africa,Africa Sub-Saharan,3,11,0.21428571428571427
2013-04-01,2013,2013 Q2,Sri Lanka,Asia South,88,265,0.24929178470254956
2013-04-01,2013,2013 Q2,Stateless,Other,7,6,0.5384615384615384
2013-04-01,2013,2013 Q2,Sudan,Africa North,112,47,0.7044025157232704
2013-04-01,2013,2013 Q2,Swaziland,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Syria,Middle East,274,48,0.8509316770186336
2013-04-01,2013,2013 Q2,Tanzania,Africa Sub-Saharan,NA,8,NA
2013-04-01,2013,2013 Q2,Thailand,Asia South East,NA,3,NA
2013-04-01,2013,2013 Q2,Togo,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Trinidad and Tobago,America Central and South,NA,6,NA
2013-04-01,2013,2013 Q2,Tunisia,Africa North,NA,8,NA
2013-04-01,2013,2013 Q2,Turkey,Europe Other,10,42,0.19230769230769232
2013-04-01,2013,2013 Q2,Uganda,Africa Sub-Saharan,20,25,0.4444444444444444
2013-04-01,2013,2013 Q2,Ukraine,Europe Other,1,3,0.25
2013-04-01,2013,2013 Q2,United States,America North,NA,2,NA
2013-04-01,2013,2013 Q2,Uzbekistan,Asia Central,3,3,0.5
2013-04-01,2013,2013 Q2,Vietnam,Asia South East,19,52,0.2676056338028169
2013-04-01,2013,2013 Q2,Western Sahara,Africa North,2,1,0.6666666666666666
2013-04-01,2013,2013 Q2,Yemen,Middle East,4,6,0.4
2013-04-01,2013,2013 Q2,Zambia,Africa Sub-Saharan,NA,1,NA
2013-04-01,2013,2013 Q2,Zimbabwe,Africa Sub-Saharan,27,70,0.27835051546391754
2013-07-01,2013,2013 Q3,Afghanistan,Asia Central,66,145,0.3127962085308057
2013-07-01,2013,2013 Q3,Albania,Europe Other,66,106,0.38372093023255816
2013-07-01,2013,2013 Q3,Algeria,Africa North,4,21,0.16
2013-07-01,2013,2013 Q3,Angola,Africa Sub-Saharan,1,4,0.2
2013-07-01,2013,2013 Q3,Azerbaijan,Europe Other,NA,1,NA
2013-07-01,2013,2013 Q3,"Bahamas, The",America Central and South,NA,1,NA
2013-07-01,2013,2013 Q3,Bangladesh,Asia South,19,196,0.08837209302325581
2013-07-01,2013,2013 Q3,Belarus,Europe Other,2,1,0.6666666666666666
2013-07-01,2013,2013 Q3,Bhutan,Asia South,1,1,0.5
2013-07-01,2013,2013 Q3,Burkina,Africa Sub-Saharan,NA,1,NA
2013-07-01,2013,2013 Q3,Burma,Asia South East,3,3,0.5
2013-07-01,2013,2013 Q3,Burundi,Africa Sub-Saharan,NA,3,NA
2013-07-01,2013,2013 Q3,Cameroon,Africa Sub-Saharan,7,18,0.28
2013-07-01,2013,2013 Q3,Canada,America North,NA,1,NA
2013-07-01,2013,2013 Q3,Central African Republic,Africa Sub-Saharan,NA,2,NA
2013-07-01,2013,2013 Q3,Chad,Africa Sub-Saharan,NA,4,NA
2013-07-01,2013,2013 Q3,China,Asia East,16,103,0.13445378151260504
2013-07-01,2013,2013 Q3,Colombia,America Central and South,NA,5,NA
2013-07-01,2013,2013 Q3,Congo,Africa Sub-Saharan,NA,5,NA
2013-07-01,2013,2013 Q3,Congo (Democratic Republic),Africa Sub-Saharan,13,21,0.38235294117647056
2013-07-01,2013,2013 Q3,Czech Republic,EU 8,NA,2,NA
2013-07-01,2013,2013 Q3,Dominica,America Central and South,NA,2,NA
2013-07-01,2013,2013 Q3,Egypt,Africa North,11,38,0.22448979591836735
2013-07-01,2013,2013 Q3,El Salvador,America Central and South,NA,1,NA
2013-07-01,2013,2013 Q3,Eritrea,Africa Sub-Saharan,207,54,0.7931034482758621
2013-07-01,2013,2013 Q3,Ethiopia,Africa Sub-Saharan,9,19,0.32142857142857145
2013-07-01,2013,2013 Q3,France,EU 14,NA,1,NA
2013-07-01,2013,2013 Q3,"Gambia, The",Africa Sub-Saharan,18,25,0.4186046511627907
2013-07-01,2013,2013 Q3,Georgia,Europe Other,NA,4,NA
2013-07-01,2013,2013 Q3,Ghana,Africa Sub-Saharan,3,31,0.08823529411764706
2013-07-01,2013,2013 Q3,Guinea,Africa Sub-Saharan,7,11,0.3888888888888889
2013-07-01,2013,2013 Q3,Guyana,America Central and South,NA,2,NA
2013-07-01,2013,2013 Q3,Hungary,EU 8,NA,2,NA
2013-07-01,2013,2013 Q3,India,Asia South,3,125,0.0234375
2013-07-01,2013,2013 Q3,Indonesia,Asia South East,1,1,0.5
2013-07-01,2013,2013 Q3,Iran,Middle East,208,171,0.5488126649076517
2013-07-01,2013,2013 Q3,Iraq,Middle East,15,39,0.2777777777777778
2013-07-01,2013,2013 Q3,Israel,Middle East,NA,1,NA
2013-07-01,2013,2013 Q3,Italy,EU 14,NA,1,NA
2013-07-01,2013,2013 Q3,Ivory Coast,Africa Sub-Saharan,3,12,0.2
2013-07-01,2013,2013 Q3,Jamaica,America Central and South,3,27,0.1
2013-07-01,2013,2013 Q3,Japan,Asia East,NA,1,NA
2013-07-01,2013,2013 Q3,Jordan,Middle East,NA,1,NA
2013-07-01,2013,2013 Q3,Kenya,Africa Sub-Saharan,2,18,0.1
2013-07-01,2013,2013 Q3,Korea (North),Asia East,3,4,0.42857142857142855
2013-07-01,2013,2013 Q3,Kosovo,Europe Other,NA,2,NA
2013-07-01,2013,2013 Q3,Kuwait,Middle East,8,8,0.5
2013-07-01,2013,2013 Q3,Kyrgyzstan,Asia Central,1,NA,NA
2013-07-01,2013,2013 Q3,Laos,Asia South East,1,NA,NA
2013-07-01,2013,2013 Q3,Latvia,EU 8,NA,2,NA
2013-07-01,2013,2013 Q3,Lebanon,Middle East,3,6,0.3333333333333333
2013-07-01,2013,2013 Q3,Liberia,Africa Sub-Saharan,1,NA,NA
2013-07-01,2013,2013 Q3,Libya,Africa North,14,19,0.42424242424242425
2013-07-01,2013,2013 Q3,Lithuania,EU 8,NA,5,NA
2013-07-01,2013,2013 Q3,Malawi,Africa Sub-Saharan,4,20,0.16666666666666666
2013-07-01,2013,2013 Q3,Malaysia,Asia South East,3,9,0.25
2013-07-01,2013,2013 Q3,Mali,Africa Sub-Saharan,NA,5,NA
2013-07-01,2013,2013 Q3,Mauritius,Africa Sub-Saharan,1,3,0.25
2013-07-01,2013,2013 Q3,Mexico,America Central and South,1,2,0.3333333333333333
2013-07-01,2013,2013 Q3,Mongolia,Asia East,3,1,0.75
2013-07-01,2013,2013 Q3,Morocco,Africa North,3,4,0.42857142857142855
2013-07-01,2013,2013 Q3,Namibia,Africa Sub-Saharan,NA,2,NA
2013-07-01,2013,2013 Q3,Nepal,Asia South,NA,7,NA
2013-07-01,2013,2013 Q3,Netherlands,EU 14,NA,1,NA
2013-07-01,2013,2013 Q3,Nigeria,Africa Sub-Saharan,31,174,0.15121951219512195
2013-07-01,2013,2013 Q3,Occupied Palestinian Territories,Middle East,9,17,0.34615384615384615
2013-07-01,2013,2013 Q3,Pakistan,Asia South,148,472,0.23870967741935484
2013-07-01,2013,2013 Q3,Philippines,Asia South East,NA,8,NA
2013-07-01,2013,2013 Q3,Poland,EU 8,NA,26,NA
2013-07-01,2013,2013 Q3,Refugee,Other,35,5,0.875
2013-07-01,2013,2013 Q3,Romania,EU 2,NA,1,NA
2013-07-01,2013,2013 Q3,Russia,Europe Other,5,12,0.29411764705882354
2013-07-01,2013,2013 Q3,Rwanda,Africa Sub-Saharan,1,2,0.3333333333333333
2013-07-01,2013,2013 Q3,Saudi Arabia,Middle East,2,1,0.6666666666666666
2013-07-01,2013,2013 Q3,Senegal,Africa Sub-Saharan,NA,5,NA
2013-07-01,2013,2013 Q3,Sierra Leone,Africa Sub-Saharan,10,9,0.5263157894736842
2013-07-01,2013,2013 Q3,Slovakia,EU 8,NA,1,NA
2013-07-01,2013,2013 Q3,Somalia,Africa Sub-Saharan,45,40,0.5294117647058824
2013-07-01,2013,2013 Q3,South Africa,Africa Sub-Saharan,3,10,0.23076923076923078
2013-07-01,2013,2013 Q3,Sri Lanka,Asia South,53,266,0.16614420062695925
2013-07-01,2013,2013 Q3,St. Kitts and Nevis,America Central and South,NA,2,NA
2013-07-01,2013,2013 Q3,St. Vincent and the Grenadines,America Central and South,NA,1,NA
2013-07-01,2013,2013 Q3,Stateless,Other,3,11,0.21428571428571427
2013-07-01,2013,2013 Q3,Sudan,Africa North,108,36,0.75
2013-07-01,2013,2013 Q3,Swaziland,Africa Sub-Saharan,1,NA,NA
2013-07-01,2013,2013 Q3,Syria,Middle East,293,80,0.7855227882037533
2013-07-01,2013,2013 Q3,Taiwan,Asia East,NA,1,NA
2013-07-01,2013,2013 Q3,Tanzania,Africa Sub-Saharan,NA,7,NA
2013-07-01,2013,2013 Q3,Thailand,Asia South East,NA,1,NA
2013-07-01,2013,2013 Q3,Togo,Africa Sub-Saharan,NA,4,NA
2013-07-01,2013,2013 Q3,Trinidad and Tobago,America Central and South,NA,2,NA
2013-07-01,2013,2013 Q3,Tunisia,Africa North,NA,3,NA
2013-07-01,2013,2013 Q3,Turkey,Europe Other,7,34,0.17073170731707318
2013-07-01,2013,2013 Q3,Uganda,Africa Sub-Saharan,21,20,0.5121951219512195
2013-07-01,2013,2013 Q3,Ukraine,Europe Other,1,3,0.25
2013-07-01,2013,2013 Q3,United States,America North,NA,1,NA
2013-07-01,2013,2013 Q3,Uzbekistan,Asia Central,NA,7,NA
2013-07-01,2013,2013 Q3,Venezuela,America Central and South,NA,1,NA
2013-07-01,2013,2013 Q3,Vietnam,Asia South East,11,45,0.19642857142857142
2013-07-01,2013,2013 Q3,Western Sahara,Africa North,NA,1,NA
2013-07-01,2013,2013 Q3,Yemen,Middle East,4,5,0.4444444444444444
2013-07-01,2013,2013 Q3,Zambia,Africa Sub-Saharan,3,4,0.42857142857142855
2013-07-01,2013,2013 Q3,Zimbabwe,Africa Sub-Saharan,19,39,0.3275862068965517
2013-10-01,2013,2013 Q4,Afghanistan,Asia Central,58,130,0.30851063829787234
2013-10-01,2013,2013 Q4,Albania,Europe Other,50,95,0.3448275862068966
2013-10-01,2013,2013 Q4,Algeria,Africa North,5,14,0.2631578947368421
2013-10-01,2013,2013 Q4,Angola,Africa Sub-Saharan,3,3,0.5
2013-10-01,2013,2013 Q4,Antigua and Barbuda,America Central and South,NA,1,NA
2013-10-01,2013,2013 Q4,Armenia,Europe Other,1,NA,NA
2013-10-01,2013,2013 Q4,Australia,Oceania,NA,1,NA
2013-10-01,2013,2013 Q4,Azerbaijan,Europe Other,2,2,0.5
2013-10-01,2013,2013 Q4,Bahrain,Middle East,4,1,0.8
2013-10-01,2013,2013 Q4,Bangladesh,Asia South,8,101,0.07339449541284404
2013-10-01,2013,2013 Q4,Belarus,Europe Other,1,3,0.25
2013-10-01,2013,2013 Q4,Bhutan,Asia South,1,NA,NA
2013-10-01,2013,2013 Q4,Bolivia,America Central and South,NA,2,NA
2013-10-01,2013,2013 Q4,Botswana,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,Brazil,America Central and South,NA,3,NA
2013-10-01,2013,2013 Q4,Burma,Asia South East,3,2,0.6
2013-10-01,2013,2013 Q4,Burundi,Africa Sub-Saharan,1,NA,NA
2013-10-01,2013,2013 Q4,Cameroon,Africa Sub-Saharan,7,17,0.2916666666666667
2013-10-01,2013,2013 Q4,Cape Verde,Africa Sub-Saharan,1,NA,NA
2013-10-01,2013,2013 Q4,Central African Republic,Africa Sub-Saharan,1,NA,NA
2013-10-01,2013,2013 Q4,Chad,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,China,Asia East,19,71,0.2111111111111111
2013-10-01,2013,2013 Q4,Colombia,America Central and South,NA,1,NA
2013-10-01,2013,2013 Q4,Congo,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,Congo (Democratic Republic),Africa Sub-Saharan,10,16,0.38461538461538464
2013-10-01,2013,2013 Q4,Cuba,America Central and South,1,NA,NA
2013-10-01,2013,2013 Q4,Ecuador,America Central and South,NA,2,NA
2013-10-01,2013,2013 Q4,Egypt,Africa North,9,20,0.3103448275862069
2013-10-01,2013,2013 Q4,Eritrea,Africa Sub-Saharan,202,53,0.792156862745098
2013-10-01,2013,2013 Q4,Ethiopia,Africa Sub-Saharan,9,14,0.391304347826087
2013-10-01,2013,2013 Q4,Fiji,Oceania,NA,2,NA
2013-10-01,2013,2013 Q4,Gabon,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,"Gambia, The",Africa Sub-Saharan,13,15,0.4642857142857143
2013-10-01,2013,2013 Q4,Georgia,Europe Other,NA,1,NA
2013-10-01,2013,2013 Q4,Ghana,Africa Sub-Saharan,5,23,0.17857142857142858
2013-10-01,2013,2013 Q4,Guinea,Africa Sub-Saharan,3,8,0.2727272727272727
2013-10-01,2013,2013 Q4,Honduras,America Central and South,NA,1,NA
2013-10-01,2013,2013 Q4,India,Asia South,2,107,0.01834862385321101
2013-10-01,2013,2013 Q4,Indonesia,Asia South East,NA,1,NA
2013-10-01,2013,2013 Q4,Iran,Middle East,125,106,0.5411255411255411
2013-10-01,2013,2013 Q4,Iraq,Middle East,13,29,0.30952380952380953
2013-10-01,2013,2013 Q4,Ivory Coast,Africa Sub-Saharan,4,8,0.3333333333333333
2013-10-01,2013,2013 Q4,Jamaica,America Central and South,3,16,0.15789473684210525
2013-10-01,2013,2013 Q4,Jordan,Middle East,NA,3,NA
2013-10-01,2013,2013 Q4,Kazakhstan,Asia Central,NA,1,NA
2013-10-01,2013,2013 Q4,Kenya,Africa Sub-Saharan,2,12,0.14285714285714285
2013-10-01,2013,2013 Q4,Korea (North),Asia East,1,2,0.3333333333333333
2013-10-01,2013,2013 Q4,Korea (South),Asia East,1,NA,NA
2013-10-01,2013,2013 Q4,Kosovo,Europe Other,2,4,0.3333333333333333
2013-10-01,2013,2013 Q4,Kuwait,Middle East,7,3,0.7
2013-10-01,2013,2013 Q4,Kyrgyzstan,Asia Central,NA,6,NA
2013-10-01,2013,2013 Q4,Latvia,EU 8,NA,1,NA
2013-10-01,2013,2013 Q4,Lebanon,Middle East,NA,4,NA
2013-10-01,2013,2013 Q4,Liberia,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,Libya,Africa North,5,19,0.20833333333333334
2013-10-01,2013,2013 Q4,Malawi,Africa Sub-Saharan,3,9,0.25
2013-10-01,2013,2013 Q4,Malaysia,Asia South East,NA,12,NA
2013-10-01,2013,2013 Q4,Maldives,Asia South,1,NA,NA
2013-10-01,2013,2013 Q4,Mali,Africa Sub-Saharan,1,2,0.3333333333333333
2013-10-01,2013,2013 Q4,Mauritania,Africa North,NA,1,NA
2013-10-01,2013,2013 Q4,Mauritius,Africa Sub-Saharan,1,6,0.14285714285714285
2013-10-01,2013,2013 Q4,Mongolia,Asia East,NA,1,NA
2013-10-01,2013,2013 Q4,Morocco,Africa North,1,5,0.16666666666666666
2013-10-01,2013,2013 Q4,Namibia,Africa Sub-Saharan,NA,2,NA
2013-10-01,2013,2013 Q4,Nepal,Asia South,NA,9,NA
2013-10-01,2013,2013 Q4,Niger,Africa Sub-Saharan,NA,2,NA
2013-10-01,2013,2013 Q4,Nigeria,Africa Sub-Saharan,21,103,0.1693548387096774
2013-10-01,2013,2013 Q4,Occupied Palestinian Territories,Middle East,9,7,0.5625
2013-10-01,2013,2013 Q4,Other and unknown,Other,1,NA,NA
2013-10-01,2013,2013 Q4,Pakistan,Asia South,95,406,0.18962075848303392
2013-10-01,2013,2013 Q4,Philippines,Asia South East,NA,3,NA
2013-10-01,2013,2013 Q4,Poland,EU 8,NA,10,NA
2013-10-01,2013,2013 Q4,Refugee,Other,25,1,0.9615384615384616
2013-10-01,2013,2013 Q4,Russia,Europe Other,4,5,0.4444444444444444
2013-10-01,2013,2013 Q4,Rwanda,Africa Sub-Saharan,1,4,0.2
2013-10-01,2013,2013 Q4,Saudi Arabia,Middle East,1,NA,NA
2013-10-01,2013,2013 Q4,Senegal,Africa Sub-Saharan,NA,1,NA
2013-10-01,2013,2013 Q4,Serbia,Europe Other,NA,2,NA
2013-10-01,2013,2013 Q4,Sierra Leone,Africa Sub-Saharan,4,5,0.4444444444444444
2013-10-01,2013,2013 Q4,Somalia,Africa Sub-Saharan,31,19,0.62
2013-10-01,2013,2013 Q4,South Africa,Africa Sub-Saharan,NA,5,NA
2013-10-01,2013,2013 Q4,Sri Lanka,Asia South,29,195,0.12946428571428573
2013-10-01,2013,2013 Q4,St. Kitts and Nevis,America Central and South,NA,1,NA
2013-10-01,2013,2013 Q4,St. Vincent and the Grenadines,America Central and South,1,1,0.5
2013-10-01,2013,2013 Q4,Stateless,Other,9,6,0.6
2013-10-01,2013,2013 Q4,Sudan,Africa North,73,31,0.7019230769230769
2013-10-01,2013,2013 Q4,Swaziland,Africa Sub-Saharan,1,NA,NA
2013-10-01,2013,2013 Q4,Syria,Middle East,235,48,0.8303886925795053
2013-10-01,2013,2013 Q4,Tanzania,Africa Sub-Saharan,2,6,0.25
2013-10-01,2013,2013 Q4,Thailand,Asia South East,NA,1,NA
2013-10-01,2013,2013 Q4,Togo,Africa Sub-Saharan,1,2,0.3333333333333333
2013-10-01,2013,2013 Q4,Trinidad and Tobago,America Central and South,NA,3,NA
2013-10-01,2013,2013 Q4,Tunisia,Africa North,1,4,0.2
2013-10-01,2013,2013 Q4,Turkey,Europe Other,8,24,0.25
2013-10-01,2013,2013 Q4,Turkmenistan,Asia Central,NA,1,NA
2013-10-01,2013,2013 Q4,Uganda,Africa Sub-Saharan,11,16,0.4074074074074074
2013-10-01,2013,2013 Q4,Ukraine,Europe Other,NA,6,NA
2013-10-01,2013,2013 Q4,United States,America North,NA,1,NA
2013-10-01,2013,2013 Q4,Uzbekistan,Asia Central,1,1,0.5
2013-10-01,2013,2013 Q4,Venezuela,America Central and South,NA,1,NA
2013-10-01,2013,2013 Q4,Vietnam,Asia South East,19,31,0.38
2013-10-01,2013,2013 Q4,Yemen,Middle East,4,1,0.8
2013-10-01,2013,2013 Q4,Zambia,Africa Sub-Saharan,1,1,0.5
2013-10-01,2013,2013 Q4,Zimbabwe,Africa Sub-Saharan,12,21,0.36363636363636365
2014-01-01,2014,2014 Q1,Afghanistan,Asia Central,48,130,0.2696629213483146
2014-01-01,2014,2014 Q1,Albania,Europe Other,28,114,0.19718309859154928
2014-01-01,2014,2014 Q1,Algeria,Africa North,4,16,0.2
2014-01-01,2014,2014 Q1,Angola,Africa Sub-Saharan,1,2,0.3333333333333333
2014-01-01,2014,2014 Q1,Armenia,Europe Other,2,1,0.6666666666666666
2014-01-01,2014,2014 Q1,Australia,Oceania,NA,1,NA
2014-01-01,2014,2014 Q1,Azerbaijan,Europe Other,2,1,0.6666666666666666
2014-01-01,2014,2014 Q1,Bahrain,Middle East,2,2,0.5
2014-01-01,2014,2014 Q1,Bangladesh,Asia South,14,100,0.12280701754385964
2014-01-01,2014,2014 Q1,Belarus,Europe Other,2,NA,NA
2014-01-01,2014,2014 Q1,Bhutan,Asia South,2,NA,NA
2014-01-01,2014,2014 Q1,Bolivia,America Central and South,1,3,0.25
2014-01-01,2014,2014 Q1,Bosnia and Herzegovina,Europe Other,NA,1,NA
2014-01-01,2014,2014 Q1,Botswana,Africa Sub-Saharan,NA,1,NA
2014-01-01,2014,2014 Q1,British overseas citizens,Other,NA,1,NA
2014-01-01,2014,2014 Q1,Burma,Asia South East,3,1,0.75
2014-01-01,2014,2014 Q1,Cameroon,Africa Sub-Saharan,3,16,0.15789473684210525
2014-01-01,2014,2014 Q1,Chad,Africa Sub-Saharan,NA,1,NA
2014-01-01,2014,2014 Q1,China,Asia East,13,75,0.14772727272727273
2014-01-01,2014,2014 Q1,Colombia,America Central and South,1,NA,NA
2014-01-01,2014,2014 Q1,Comoros,Africa Sub-Saharan,NA,1,NA
2014-01-01,2014,2014 Q1,Congo,Africa Sub-Saharan,NA,1,NA
2014-01-01,2014,2014 Q1,Congo (Democratic Republic),Africa Sub-Saharan,11,11,0.5
2014-01-01,2014,2014 Q1,Costa Rica,America Central and South,NA,1,NA
2014-01-01,2014,2014 Q1,Cuba,America Central and South,1,NA,NA
2014-01-01,2014,2014 Q1,Egypt,Africa North,6,14,0.3
2014-01-01,2014,2014 Q1,El Salvador,America Central and South,NA,1,NA
